ANO;GRANDE REGIÃO;ESTADO;PRODUTO;VENDAS
1957;Região Norte;Amapá;GLP;0
1957;Região Centro-Oeste;Distrito Federal;GLP;0
1957;Região Norte;Pará;GLP;0
1957;Região Norte;Amazonas;GLP;324,2753623
1957;Região Nordeste;Pernambuco;GLP;2548,913043
1957;Região Centro-Oeste;Mato Grosso do Sul;GLP;0
1957;Região Nordeste;Bahia;GLP;6751,811594
1957;Região Nordeste;Ceará;GLP;3693,84058
1957;Região Sudeste;Rio de Janeiro;GLP;101630,4348
1957;Região Norte;Acre;GLP;0
1957;Região Centro-Oeste;Goiás;GLP;1307,971014
1957;Região Sul;Rio Grande do Sul;GLP;5353,26087
1957;Região Sudeste;Espírito Santo;GLP;356,884058
1957;Região Norte;Tocantins;GLP;0
1957;Região Centro-Oeste;Mato Grosso;GLP;490,942029
1957;Região Norte;Roraima;GLP;1096,014493
1957;Região Norte;Rondônia;GLP;0
1957;Região Nordeste;Paraíba;GLP;277,173913
1957;Região Nordeste;Maranhão;GLP;797,1014493
1957;Região Sudeste;São Paulo;GLP;193867,7536
1957;Região Sul;Paraná;GLP;2625
1957;Região Sudeste;Minas Gerais;GLP;9951,086957
1957;Região Nordeste;Alagoas;GLP;317,0289855
1957;Região Sul;Santa Catarina;GLP;552,5362319
1957;Região Nordeste;Sergipe;GLP;635,8695652
1958;Região Nordeste;Pernambuco;GLP;4284,42029
1958;Região Sudeste;Rio de Janeiro;GLP;133467,3913
1958;Região Norte;Pará;GLP;0
1958;Região Nordeste;Ceará;GLP;4496,376812
1958;Região Norte;Rondônia;GLP;0
1958;Região Sul;Paraná;GLP;8311,594203
1958;Região Nordeste;Rio Grande do Norte;GLP;474,6376812
1958;Região Norte;Amapá;GLP;0
1958;Região Sul;Santa Catarina;GLP;1271,73913
1958;Região Nordeste;Sergipe;GLP;458,3333333
1958;Região Centro-Oeste;Distrito Federal;GLP;0
1958;Região Nordeste;Piauí;GLP;0
1958;Região Nordeste;Alagoas;GLP;507,2463768
1958;Região Norte;Acre;GLP;0
1958;Região Sul;Rio Grande do Sul;GLP;9653,985507
1958;Região Nordeste;Maranhão;GLP;1018,115942
1958;Região Norte;Tocantins;GLP;0
1958;Região Sudeste;São Paulo;GLP;224818,8406
1958;Região Centro-Oeste;Goiás;GLP;1476,449275
1958;Região Sudeste;Espírito Santo;GLP;523,5507246
1958;Região Norte;Amazonas;GLP;1076,086957
1958;Região Nordeste;Paraíba;GLP;534,4202899
1958;Região Centro-Oeste;Mato Grosso;GLP;833,3333333
1958;Região Centro-Oeste;Mato Grosso do Sul;GLP;0
1958;Região Norte;Roraima;GLP;1614,130435
1958;Região Sudeste;Minas Gerais;GLP;14101,44928
1958;Região Nordeste;Bahia;GLP;8385,869565
1959;Região Norte;Acre;GLP;0
1959;Região Nordeste;Rio Grande do Norte;GLP;528,9855072
1959;Região Sul;Rio Grande do Sul;GLP;20115,94203
1959;Região Norte;Amazonas;GLP;2050,724638
1959;Região Nordeste;Alagoas;GLP;644,9275362
1959;Região Norte;Amapá;GLP;0
1959;Região Nordeste;Sergipe;GLP;987,3188406
1959;Região Centro-Oeste;Distrito Federal;GLP;0
1959;Região Norte;Tocantins;GLP;0
1959;Região Norte;Roraima;GLP;2182,971014
1959;Região Sul;Santa Catarina;GLP;1742,753623
1959;Região Nordeste;Maranhão;GLP;1076,086957
1959;Região Sudeste;Rio de Janeiro;GLP;158280,7971
1959;Região Nordeste;Piauí;GLP;0
1959;Região Nordeste;Paraíba;GLP;592,3913043
1959;Região Sudeste;São Paulo;GLP;277126,8116
1959;Região Sul;Paraná;GLP;10422,10145
1959;Região Sudeste;Espírito Santo;GLP;588,7681159
1959;Região Centro-Oeste;Mato Grosso;GLP;1032,608696
1959;Região Nordeste;Pernambuco;GLP;5038,043478
